"","Словарная статья","Жест","Тип жеста","H1 Выбранные пальцы","H1 Сгиб","H1 Апертура","H1 Ширина","H1 Невыбранные пальцы","H1 Фокус","Ориентация H1 к H2","H2 Выбранные пальцы","H2 Сгиб","H2 Апертура","H2 Ширина","H2 Невыбранные пальцы","Ориентация H2 к H1"
"101","12416--кольцо--MVI_4466.eaf","кольцо","Type 3","1-st","bent","closed","","straight","","palm","all","straight","","pointed","","back"
"102","12454--жареная курица--MVI_4523.eaf","курица","Type 3","1-st","curved","","","flexed","palm","palm","all","fist","","","","back"
"103","12495--стропилы на крыше--MVI_4575.eaf","","Type 2","all","straight","","pointed","","root/back","tips","all","straight","","pointed","","palm"
"104","12502--комната--MVI_4585.eaf","комната","Type 3","1-st","curved","open","","flexed","palm","palm","all","straight","","pointed","","palm"
"105","12527--маршрут--MVI_4629.eaf","маршрут","Type 2","all","straight","","pointed","","tips","ulnar","all","straight","","pointed","","palm"
"106","12557--слух--MVI_4665.eaf","слух","Type 3","1-st","curved","","","flexed","","palm","all","fist","","","","palm"
"107","12642--шкурка--MVI_4789.eaf","шкурка","Type 2","all","straight","","pointed","","ulnar","palm","all","straight","","pointed","","palm"
"109","12661--соус--MVI_4824.eaf","соус","Type 3","thumb","straight","","","flexed","","radial","all","straight","","pointed","","palm"
"110","12685--сканнер--MVI_4856.eaf","сканер","Type 2","all","straight","","pointed","","radial","back","all","straight","","pointed","","palm"
"112","12768--шпатель--MVI_4980.eaf","шпатель","Type 3","all","curved","","wide","","root","palm/tips","all","straight","","pointed","","palm"
"113","12770--царапать--MVI_4982.eaf","царапать","Type 3","1-st","curved","","","flexed","","palm/tips","all","straight","","pointed","","palm"
"114","12780--шуруп--MVI_4996.eaf","шуруп","Type 3","1-st","straight","","","flexed","tips","tips","all","straight","","pointed","","palm"
"115","12783--отвертка--MVI_5000.eaf","отвертка","Type 3","1-st/2-nd","straight","","pointed","flexed","tips","tips","all","straight","","pointed","","palm"
"116","12803--печать--MVI_5028.eaf","печать","Type 3","all","fist","","","","ulnar","ulnar","all","straight","","pointed","","palm"
"118","12909--посылать--MVI_5195.eaf","посылать2","Type 3","all","curved","","pointed","","palm","root","all","fist","","","","back"
"119","12923--разделять--MVI_5215.eaf","разделять2","Type 2","all","straight","","pointed","","palm","back","all","straight","","pointed","","back"
"120","12923--разделять--MVI_5215.eaf","разделять3","Type 2","thumb","straight","","","flexed","tips","radial","thumb","straight","","","flexed","radial"
"122","12960--расчет ; урегулирование--MVI_5281.eaf","рассчитываться","Type 2","all","straight","","pointed","","radial/ulnar","palm","all","straight","","pointed","","palm"
"123","12970--серьезные трудности в обучении--MVI_5295.eaf","серьезный","Type 2","all","straight","","pointed","","","back/palm","all","straight","","pointed","","back"
"124","12971--шить--MVI_5298.eaf","шить","Type 3","all","straight","","wide","flexed","radial","tips","all","straight","","pointed","","palm"
"125","12974--шитье--MVI_5301.eaf","шить2","Type 2","1-st","curved","closed","","straight","ulnar","palm","1-st","curved","closed","","straight","palm"
"126","12997--позор--MVI_5343.eaf","","Type 2","all","straight","","pointed","","palm","palm","all","straight","","pointed","","palm"
"127","13005--острый--MVI_5358.eaf","острый","Type 2","1-st","straight","","","flexed","ulnar/root","ulnar","1-st","straight","","","flexed","back"
"128","13044--рожок для обуви--MVI_5411.eaf","рожок для обуви","Type 3","1-st","curved_around","","","flexed","tips","radial","all","straight","","pointed","","root"
"129","13078--показывать--MVI_5461.eaf","","Type 2","all","straight","","pointed","","back","back","all","straight","","pointed","","palm"
"130","13124--подпись--MVI_5529.eaf","подпись","Type 3","1-st/2-nd","bent","closed","","flexed","ulnar","back","all","straight","","pointed","","palm"
"131","13175--сестра--MVI_5599.eaf","сестра","Type 2","1-st","straight","","","flexed","ulnar","ulnar","1-st","straight","","","flexed","back"
